STOCK_SYMBOL,MATCH_TIME,close,highest,lowest,Quantity,open
0050,93000000000,85.7,85.75,85.6,700,85.65
0050,100000000000,85.85,85.9,85.7,1062,85.7
0050,103000000000,85.7,85.85,85.7,148,85.85
0050,110000000000,85.55,85.75,85.55,218,85.75
0050,113000000000,85.6,85.65,85.55,181,85.55
0050,120000000000,85.6,85.65,85.5,249,85.6
0050,123000000000,85.45,85.6,85.4,166,85.5
0050,130000000000,85.55,85.6,85.4,268,85.4
0050,133000000000,85.5,85.55,85.45,123,85.55
0050,133000000000,85.55,85.55,85.55,97,85.55
0051,93000000000,34.12,34.28,34.12,5,34.28
0051,100000000000,34.08,34.08,34.08,1,34.08
0051,103000000000,34.12,34.12,34.12,6,34.12
0051,120000000000,34.05,34.05,34.05,1,34.05
0051,130000000000,34.01,34.01,34.01,1,34.01
0052,100000000000,54.85,54.85,54.85,1,54.85
0052,110000000000,54.75,54.75,54.75,40,54.75
0052,113000000000,54.7,54.7,54.7,60,54.7
0053,93000000000,37.63,37.63,37.61,12,37.61
0053,100000000000,37.62,37.62,37.62,2,37.62
0054,93000000000,25.33,25.47,25.33,7,25.37
0054,100000000000,25.34,25.34,25.34,1,25.34
0054,103000000000,25.34,25.34,25.32,25,25.33
0055,93000000000,17.66,17.7,17.66,3,17.7
0055,100000000000,17.69,17.7,17.69,2,17.7
0055,103000000000,17.67,17.67,17.67,4,17.67
0055,113000000000,17.64,17.67,17.64,9,17.67
0055,120000000000,17.64,17.64,17.64,1,17.64
0055,123000000000,17.64,17.64,17.64,5,17.64
0055,130000000000,17.64,17.64,17.64,1,17.64
0055,133000000000,17.65,17.65,17.64,4,17.64
0056,93000000000,27.0,27.03,26.8,2072,26.8
0056,100000000000,27.05,27.05,26.99,1563,26.99
0056,103000000000,27.06,27.08,27.04,787,27.05
0056,110000000000,27.02,27.07,27.02,497,27.06
0056,113000000000,27.02,27.04,27.01,587,27.02
0056,120000000000,27.0,27.02,27.0,374,27.02
0056,123000000000,26.98,27.01,26.97,431,27.0
0056,130000000000,27.02,27.03,26.98,697,26.98
0056,133000000000,27.02,27.04,27.0,308,27.02
0056,133000000000,27.04,27.04,27.04,76,27.04
0057,93000000000,52.3,52.35,52.3,4,52.35
0057,113000000000,52.25,52.25,52.25,10,52.25
0057,130000000000,52.25,52.25,52.25,10,52.25
0058,113000000000,49.66,49.66,49.66,10,49.66
0058,130000000000,49.6,49.6,49.6,10,49.6
0059,100000000000,43.34,43.35,43.34,2,43.35
0059,103000000000,43.28,43.28,43.28,1,43.28
0061,93000000000,16.94,17.07,16.91,322,17.07
0061,100000000000,17.0,17.03,16.92,214,16.94
0061,103000000000,16.96,17.01,16.95,78,17.01
0061,110000000000,16.91,16.95,16.91,126,16.95
0061,113000000000,16.89,16.9,16.86,121,16.9
0061,120000000000,16.89,16.89,16.88,20,16.88
0061,123000000000,16.89,16.89,16.88,18,16.89
0061,130000000000,16.89,16.89,16.89,4,16.89
0061,133000000000,16.88,16.89,16.87,44,16.89
0061,133000000000,16.93,16.93,16.93,300,16.93
006203,100000000000,39.42,39.42,39.42,2,39.42
006203,103000000000,39.39,39.41,39.39,11,39.41
006204,113000000000,56.3,56.3,56.3,1,56.3
006205,93000000000,28.69,28.69,28.63,205,28.68
006205,100000000000,28.82,28.84,28.58,858,28.68
006205,103000000000,28.75,28.88,28.75,103,28.85
006205,110000000000,28.62,28.73,28.62,377,28.73
006205,113000000000,28.66,28.67,28.6,340,28.63
006205,120000000000,28.67,28.67,28.63,980,28.64
006205,123000000000,28.65,28.68,28.65,141,28.68
006205,130000000000,28.68,28.68,28.65,106,28.65
006205,133000000000,28.66,28.68,28.66,443,28.68
006205,133000000000,28.7,28.7,28.7,18,28.7
006206,93000000000,28.73,28.87,28.68,61,28.87
006206,100000000000,29.02,29.02,28.66,282,28.66
006206,103000000000,28.9,29.04,28.89,71,29.02
006206,110000000000,28.75,28.85,28.75,84,28.85
006206,113000000000,28.75,28.76,28.71,35,28.73
006206,120000000000,28.78,28.78,28.75,55,28.75
006206,123000000000,28.78,28.78,28.78,5,28.78
006206,133000000000,28.73,28.78,28.73,114,28.78
006206,133000000000,28.8,28.8,28.8,54,28.8
006207,93000000000,21.34,21.41,21.3,11,21.4
006207,100000000000,21.46,21.46,21.3,125,21.39
006207,103000000000,21.4,21.5,21.4,61,21.5
006207,110000000000,21.32,21.41,21.32,284,21.39
006207,113000000000,21.35,21.35,21.29,93,21.31
006207,120000000000,21.33,21.34,21.32,73,21.33
006207,123000000000,21.33,21.35,21.32,81,21.34
006207,130000000000,21.31,21.33,21.3,91,21.33
006207,133000000000,21.26,21.32,21.26,55,21.31
006207,133000000000,21.29,21.29,21.29,4,21.29
006208,93000000000,49.15,49.15,49.11,2,49.11
006208,100000000000,49.19,49.19,49.15,3,49.15
006208,113000000000,49.15,49.15,49.15,39,49.15
006208,130000000000,49.14,49.14,49.06,5,49.06
00625K,110000000000,6.38,6.38,6.38,50,6.38
00631L,93000000000,40.14,40.26,40.11,492,40.15
00631L,100000000000,40.3,40.35,40.12,66,40.2
00631L,103000000000,40.17,40.34,40.17,78,40.3
00631L,110000000000,40.04,40.15,40.0,96,40.15
00631L,113000000000,40.1,40.1,40.01,19,40.01
00631L,120000000000,40.05,40.05,40.0,16,40.05
00631L,123000000000,39.99,40.01,39.93,52,40.01
00631L,130000000000,40.02,40.02,39.97,110,39.97
00631L,133000000000,39.97,40.02,39.94,105,40.02
00631L,133000000000,40.02,40.02,40.02,21,40.02
00632R,93000000000,12.08,12.09,12.06,6423,12.07
00632R,100000000000,12.06,12.09,12.05,5031,12.07
00632R,103000000000,12.08,12.08,12.06,1230,12.06
00632R,110000000000,12.1,12.11,12.08,3332,12.08
00632R,113000000000,12.1,12.11,12.09,1415,12.1
00632R,120000000000,12.1,12.11,12.1,2193,12.1
00632R,123000000000,12.11,12.12,12.09,2187,12.1
00632R,130000000000,12.09,12.11,12.09,1737,12.11
00632R,133000000000,12.1,12.11,12.1,1528,12.1
00632R,133000000000,12.1,12.1,12.1,1720,12.1
00633L,93000000000,37.94,37.98,37.72,2905,37.8
00633L,100000000000,38.5,38.62,37.81,5958,37.96
00633L,103000000000,38.24,38.71,38.2,3487,38.5
00633L,110000000000,37.82,38.21,37.82,2779,38.2
00633L,113000000000,37.9,37.94,37.77,1673,37.81
00633L,120000000000,37.95,37.95,37.83,318,37.89
00633L,123000000000,37.94,37.96,37.94,484,37.95
00633L,130000000000,37.95,38.0,37.94,256,37.95
00633L,133000000000,37.81,37.99,37.72,2381,37.95
00633L,133000000000,37.81,37.81,37.81,628,37.81
