STOCK_SYMBOL,MATCH_TIME,close,highest,lowest,Quantity,open
0050,93000000000,86.65,87.0,86.65,1443,87.0
0050,100000000000,86.7,86.8,86.65,345,86.7
0050,103000000000,86.5,86.8,86.5,504,86.75
0050,110000000000,86.65,86.65,86.45,331,86.5
0050,113000000000,86.7,86.7,86.55,284,86.6
0050,120000000000,86.75,86.8,86.65,277,86.7
0050,123000000000,86.75,86.8,86.7,279,86.8
0050,130000000000,86.75,86.8,86.7,318,86.75
0050,133000000000,86.9,86.95,86.7,297,86.75
0050,133000000000,86.95,86.95,86.95,150,86.95
0051,93000000000,33.97,34.12,33.97,9,34.12
0051,120000000000,33.97,33.97,33.97,1,33.97
0051,130000000000,33.99,33.99,33.99,1,33.99
0051,133000000000,34.08,34.08,34.08,1,34.08
0051,133000000000,34.08,34.08,34.08,2,34.08
0052,93000000000,55.6,56.1,55.6,15,55.95
0052,100000000000,55.55,55.55,55.55,1,55.55
0052,113000000000,55.45,55.45,55.45,86,55.45
0052,133000000000,55.55,55.8,55.5,3,55.5
0053,93000000000,37.52,37.58,37.52,2,37.58
0053,100000000000,37.41,37.41,37.41,1,37.41
0053,103000000000,37.29,37.4,37.29,3,37.4
0053,130000000000,37.18,37.19,37.18,2,37.19
0053,133000000000,37.34,37.34,37.34,3,37.34
0054,113000000000,24.88,24.88,24.88,1,24.88
0054,130000000000,24.79,24.79,24.79,5,24.79
0054,133000000000,24.88,24.88,24.88,1,24.88
0055,93000000000,18.14,18.14,18.14,1,18.14
0055,103000000000,18.24,18.24,18.2,11,18.2
0055,113000000000,18.22,18.22,18.22,10,18.22
0055,123000000000,18.2,18.2,18.2,1,18.2
0055,130000000000,18.18,18.18,18.18,6,18.18
0055,133000000000,18.24,18.24,18.2,22,18.2
0055,133000000000,18.27,18.27,18.27,6,18.27
0056,93000000000,27.6,27.65,27.6,149,27.6
0056,100000000000,27.61,27.61,27.59,86,27.6
0056,103000000000,27.58,27.61,27.58,145,27.61
0056,110000000000,27.59,27.6,27.58,37,27.59
0056,113000000000,27.62,27.62,27.59,59,27.59
0056,120000000000,27.65,27.65,27.61,224,27.61
0056,123000000000,27.64,27.65,27.64,74,27.65
0056,130000000000,27.65,27.68,27.64,87,27.64
0056,133000000000,27.7,27.7,27.65,227,27.65
0056,133000000000,27.78,27.78,27.78,290,27.78
0057,93000000000,52.65,52.95,52.65,22,52.95
0057,103000000000,52.55,52.55,52.5,2,52.5
0057,113000000000,52.65,52.65,52.65,20,52.65
0058,93000000000,49.38,49.38,49.38,1,49.38
0058,100000000000,49.34,49.34,49.34,1,49.34
0058,113000000000,49.37,49.37,49.37,20,49.37
0058,123000000000,49.48,49.48,49.48,1,49.48
0059,113000000000,44.05,44.05,44.05,1,44.05
0059,133000000000,44.22,44.22,44.22,1,44.22
0061,93000000000,16.03,16.1,16.03,225,16.1
0061,100000000000,16.02,16.04,16.01,118,16.03
0061,103000000000,15.99,16.04,15.96,338,16.04
0061,110000000000,16.05,16.05,15.97,248,15.99
0061,113000000000,16.1,16.15,16.07,91,16.07
0061,120000000000,16.1,16.1,16.1,21,16.1
0061,123000000000,16.09,16.1,16.08,23,16.09
0061,130000000000,16.09,16.09,16.07,23,16.09
0061,133000000000,16.08,16.1,16.07,18,16.09
0061,133000000000,16.09,16.09,16.09,20,16.09
006203,93000000000,40.13,40.42,40.13,41,40.42
006203,110000000000,40.09,40.09,40.09,1,40.09
006203,113000000000,40.11,40.11,40.11,1,40.11
006204,93000000000,56.75,57.05,56.75,6,57.0
006204,103000000000,56.7,56.7,56.7,1,56.7
006204,133000000000,56.9,56.9,56.9,1,56.9
006205,93000000000,27.34,27.5,27.32,379,27.5
006205,100000000000,27.49,27.51,27.37,469,27.37
006205,103000000000,27.4,27.49,27.39,156,27.49
006205,110000000000,27.6,27.6,27.4,118,27.4
006205,113000000000,27.62,27.7,27.6,206,27.64
006205,120000000000,27.67,27.67,27.62,17,27.62
006205,123000000000,27.68,27.68,27.67,912,27.68
006205,130000000000,27.67,27.67,27.66,27,27.67
006205,133000000000,27.7,27.73,27.65,102,27.68
006205,133000000000,27.7,27.7,27.7,6,27.7
006206,93000000000,27.81,28.0,27.8,162,28.0
006206,100000000000,27.94,27.97,27.84,75,27.84
006206,103000000000,27.88,27.95,27.86,38,27.95
006206,110000000000,28.05,28.05,27.92,312,27.92
006206,113000000000,28.14,28.2,28.07,69,28.09
006206,120000000000,28.15,28.15,28.13,15,28.14
006206,123000000000,28.16,28.16,28.15,31,28.15
006206,130000000000,28.16,28.16,28.15,20,28.16
006206,133000000000,28.19,28.19,28.15,29,28.15
006206,133000000000,28.19,28.19,28.19,14,28.19
006207,93000000000,20.19,20.31,20.16,178,20.31
006207,100000000000,20.27,20.27,20.21,29,20.21
006207,103000000000,20.22,20.27,20.15,22,20.27
006207,110000000000,20.33,20.33,20.2,133,20.22
006207,113000000000,20.36,20.4,20.33,95,20.33
006207,120000000000,20.39,20.39,20.33,35,20.37
006207,123000000000,20.37,20.39,20.37,7,20.39
006207,130000000000,20.39,20.39,20.37,10,20.38
006207,133000000000,20.38,20.39,20.38,13,20.39
006207,133000000000,20.38,20.38,20.38,5,20.38
006208,93000000000,50.35,50.35,50.35,4,50.35
006208,113000000000,50.2,50.2,50.2,40,50.2
006208,123000000000,50.2,50.2,50.2,1,50.2
006208,130000000000,50.2,50.2,50.2,1,50.2
006208,133000000000,50.2,50.2,50.2,2,50.2
00625K,113000000000,6.14,6.14,6.14,50,6.14
00631L,93000000000,40.58,40.85,40.51,1158,40.85
00631L,100000000000,40.67,40.7,40.55,281,40.58
00631L,103000000000,40.45,40.65,40.44,239,40.64
00631L,110000000000,40.56,40.6,40.45,101,40.45
00631L,113000000000,40.63,40.65,40.54,137,40.54
00631L,120000000000,40.73,40.78,40.62,101,40.63
00631L,123000000000,40.71,40.74,40.69,57,40.72
00631L,130000000000,40.63,40.7,40.63,31,40.68
00631L,133000000000,40.83,40.87,40.7,180,40.7
00631L,133000000000,40.86,40.86,40.86,23,40.86
00632R,93000000000,12.01,12.01,11.98,17799,11.99
00632R,100000000000,12.0,12.02,11.98,6478,12.01
00632R,103000000000,12.02,12.02,11.99,4715,12.0
00632R,110000000000,12.01,12.03,12.0,5266,12.02
00632R,113000000000,12.0,12.01,11.99,7150,12.01
00632R,120000000000,11.99,12.0,11.97,5990,12.0
00632R,123000000000,11.99,11.99,11.98,1406,11.99
00632R,130000000000,11.99,12.0,11.98,4502,11.99
00632R,133000000000,11.97,12.0,11.95,3439,11.99
00632R,133000000000,11.96,11.96,11.96,2170,11.96
00633L,93000000000,34.75,34.99,34.72,11016,34.99
00633L,100000000000,34.92,34.98,34.67,4605,34.79
00633L,103000000000,34.67,34.92,34.65,4178,34.92
00633L,110000000000,35.25,35.25,34.65,3765,34.66
00633L,113000000000,35.37,35.62,35.2,6883,35.28
00633L,120000000000,35.44,35.44,35.35,438,35.35
00633L,123000000000,35.39,35.44,35.38,149,35.43
00633L,130000000000,35.42,35.42,35.38,265,35.4
00633L,133000000000,35.45,35.52,35.34,3750,35.41
00633L,133000000000,35.49,35.49,35.49,1324,35.49
00634R,93000000000,7.89,7.9,7.87,226,7.87
00634R,100000000000,7.86,7.89,7.86,198,7.89
00634R,103000000000,7.89,7.89,7.86,169,7.86
00634R,110000000000,7.84,7.89,7.84,105,7.89
00634R,113000000000,7.81,7.84,7.79,60,7.84
00634R,120000000000,7.81,7.82,7.81,8,7.82
00634R,123000000000,7.81,7.81,7.81,30,7.81
00634R,130000000000,7.81,7.81,7.81,2,7.81
00634R,133000000000,7.81,7.81,7.81,160,7.81
00634R,133000000000,7.8,7.8,7.8,22,7.8
00635U,93000000000,18.17,18.19,18.17,54,18.19
00635U,100000000000,18.21,18.21,18.17,44,18.17
00635U,103000000000,18.21,18.21,18.21,6,18.21
00635U,110000000000,18.22,18.22,18.21,12,18.21
00635U,113000000000,18.21,18.22,18.21,31,18.22
00635U,120000000000,18.2,18.2,18.2,11,18.2
00635U,123000000000,18.23,18.23,18.21,38,18.21
00635U,130000000000,18.25,18.25,18.23,28,18.23
00635U,133000000000,18.26,18.27,18.25,57,18.25
00635U,133000000000,18.27,18.27,18.27,14,18.27
00636,93000000000,17.92,18.01,17.9,749,18.01
00636,100000000000,17.97,17.98,17.91,1194,17.92
00636,103000000000,17.92,17.97,17.9,259,17.96
00636,110000000000,18.07,18.07,17.91,381,17.91
00636,113000000000,18.09,18.15,18.03,203,18.06
00636,120000000000,18.11,18.11,18.09,95,18.09
00636,123000000000,18.1,18.12,18.1,59,18.11
00636,130000000000,18.11,18.11,18.1,116,18.1
00636,133000000000,18.11,18.14,18.09,254,18.11
00636,133000000000,18.13,18.13,18.13,45,18.13
00636K,100000000000,5.88,5.88,5.88,1,5.88
00637L,93000000000,13.19,13.27,13.16,28079,13.27
00637L,100000000000,13.25,13.26,13.16,14890,13.19
00637L,103000000000,13.14,13.25,13.14,19430,13.25
00637L,110000000000,13.36,13.36,13.13,18359,13.13
00637L,113000000000,13.41,13.5,13.33,19181,13.37
00637L,120000000000,13.42,13.43,13.39,1938,13.41
00637L,123000000000,13.4,13.43,13.39,1422,13.41
00637L,130000000000,13.41,13.41,13.4,780,13.4
00637L,133000000000,13.44,13.47,13.39,9719,13.4
00637L,133000000000,13.48,13.48,13.48,4822,13.48
00638R,93000000000,15.89,15.9,15.83,171,15.83
00638R,100000000000,15.85,15.89,15.83,118,15.88
