STOCK_SYMBOL,MATCH_TIME,close,highest,lowest,Quantity,open
0050,93000000000,78.1,78.2,77.55,1357,77.85
0050,100000000000,78.45,78.45,78.1,1649,78.1
0050,103000000000,78.3,78.45,78.3,619,78.4
0050,110000000000,78.25,78.35,78.15,471,78.3
0050,113000000000,78.35,78.35,78.25,262,78.25
0050,120000000000,78.35,78.35,78.3,378,78.3
0050,123000000000,78.3,78.4,78.2,743,78.35
0050,130000000000,78.3,78.4,78.25,351,78.25
0050,133000000000,78.35,78.35,78.3,425,78.35
0050,133000000000,78.4,78.4,78.4,525,78.4
0051,93000000000,28.97,28.97,28.73,17,28.82
0051,100000000000,29.09,29.09,29.05,5,29.05
0051,113000000000,29.07,29.07,29.06,4,29.06
0051,120000000000,29.34,29.34,29.34,2,29.34
0051,123000000000,29.29,29.29,29.29,1,29.29
0051,130000000000,29.28,29.28,29.28,1,29.28
0051,133000000000,29.26,29.26,29.26,1,29.26
0051,133000000000,29.26,29.26,29.26,2,29.26
0052,93000000000,49.67,49.67,49.52,2,49.52
0052,110000000000,50.0,50.0,50.0,1,50.0
0052,113000000000,49.95,50.35,49.95,130,50.35
0052,123000000000,50.05,50.1,50.05,2,50.1
0053,113000000000,32.43,32.43,32.43,1,32.43
0053,120000000000,32.52,32.52,32.52,2,32.52
0053,123000000000,32.49,32.49,32.49,2,32.49
0054,93000000000,21.0,21.0,21.0,1,21.0
0054,113000000000,21.09,21.09,21.07,21,21.07
0054,123000000000,21.07,21.07,21.07,20,21.07
0054,133000000000,20.97,21.04,20.97,22,21.04
0055,93000000000,17.26,17.3,17.26,2,17.3
0055,103000000000,17.26,17.26,17.26,5,17.26
0055,110000000000,17.26,17.26,17.26,4,17.26
0055,113000000000,17.26,17.26,17.26,1,17.26
0055,133000000000,17.27,17.27,17.27,1,17.27
0056,93000000000,23.99,24.0,23.8,1390,23.86
0056,100000000000,24.09,24.09,23.98,775,23.99
0056,103000000000,24.09,24.14,24.08,825,24.08
0056,110000000000,24.03,24.1,24.0,483,24.08
0056,113000000000,24.05,24.06,24.03,272,24.03
0056,120000000000,24.04,24.09,24.03,305,24.05
0056,123000000000,24.02,24.04,24.02,371,24.04
0056,130000000000,24.06,24.07,24.01,303,24.02
0056,133000000000,24.07,24.08,24.05,429,24.07
0056,133000000000,24.08,24.08,24.08,170,24.08
0057,113000000000,47.4,47.4,47.4,20,47.4
0058,113000000000,42.93,42.93,42.93,20,42.93
0061,93000000000,15.26,15.26,15.09,203,15.09
0061,100000000000,15.31,15.31,15.2,679,15.25
0061,103000000000,15.31,15.31,15.27,191,15.3
0061,110000000000,15.25,15.31,15.25,2037,15.31
0061,113000000000,15.3,15.3,15.24,247,15.24
0061,120000000000,15.3,15.3,15.29,35,15.3
0061,123000000000,15.3,15.3,15.29,79,15.29
0061,130000000000,15.3,15.32,15.29,76,15.3
0061,133000000000,15.3,15.31,15.29,511,15.3
0061,133000000000,15.3,15.3,15.3,34,15.3
006203,123000000000,35.76,35.76,35.76,20,35.76
006203,133000000000,35.95,35.95,35.95,1,35.95
006204,93000000000,48.7,48.7,48.57,90,48.69
006204,100000000000,49.02,49.02,49.02,32,49.02
006205,93000000000,26.71,26.74,26.58,603,26.61
006205,100000000000,26.85,26.85,26.6,573,26.69
006205,103000000000,26.77,26.84,26.73,168,26.84
006205,110000000000,26.66,26.82,26.65,340,26.79
006205,113000000000,26.79,26.8,26.65,134,26.66
006205,120000000000,26.76,26.8,26.75,94,26.79
006205,123000000000,26.77,26.8,26.76,1112,26.76
006205,130000000000,26.78,26.79,26.77,69,26.77
006205,133000000000,26.76,26.79,26.75,227,26.78
006205,133000000000,26.76,26.76,26.76,19,26.76
006206,93000000000,28.05,28.05,27.71,169,27.71
006206,100000000000,28.15,28.16,27.9,414,27.97
006206,103000000000,28.07,28.14,28.02,266,28.14
006206,110000000000,27.94,28.02,27.94,62,28.02
006206,113000000000,28.0,28.02,27.94,19,27.94
006206,120000000000,28.0,28.0,28.0,16,28.0
006206,123000000000,28.03,28.03,28.0,23,28.0
006206,130000000000,28.04,28.05,28.02,37,28.03
006206,133000000000,28.04,28.04,28.02,44,28.03
006206,133000000000,28.02,28.02,28.02,5,28.02
006207,93000000000,19.35,19.35,19.19,56,19.19
006207,100000000000,19.52,19.52,19.32,106,19.35
006207,103000000000,19.46,19.48,19.41,39,19.48
006207,110000000000,19.4,19.48,19.39,10,19.48
006207,113000000000,19.48,19.48,19.41,88,19.41
006207,120000000000,19.49,19.49,19.45,30,19.45
006207,130000000000,19.44,19.47,19.44,10,19.47
006207,133000000000,19.44,19.45,19.44,7,19.44
006207,133000000000,19.46,19.46,19.46,2,19.46
006208,93000000000,45.27,45.3,45.27,4,45.3
006208,100000000000,45.37,45.37,45.33,2,45.33
006208,113000000000,45.64,45.64,45.64,40,45.64
006208,123000000000,45.65,45.65,45.65,1,45.65
00625K,100000000000,6.04,6.04,6.04,1,6.04
