STOCK_SYMBOL,MATCH_TIME,close,highest,lowest,Quantity,open
0050,93000000000,78.05,78.2,77.55,1975,77.75
0050,100000000000,78.0,78.2,77.95,433,78.0
0050,103000000000,78.1,78.1,77.95,224,78.0
0050,110000000000,78.1,78.1,78.0,206,78.1
0050,113000000000,78.2,78.2,78.1,448,78.1
0050,120000000000,78.2,78.3,78.15,717,78.2
0050,123000000000,78.05,78.25,78.05,435,78.2
0050,130000000000,78.0,78.1,78.0,368,78.05
0050,133000000000,78.0,78.05,77.95,1070,78.05
0050,133000000000,78.0,78.0,78.0,237,78.0
0051,93000000000,29.63,29.63,29.42,9,29.42
0051,100000000000,29.5,29.5,29.5,1,29.5
0051,120000000000,29.5,29.5,29.5,1,29.5
0051,130000000000,29.48,29.48,29.48,1,29.48
0051,133000000000,29.48,29.48,29.48,1,29.48
0052,93000000000,49.28,49.28,49.28,4,49.28
0052,100000000000,49.35,49.36,49.34,5,49.34
0052,113000000000,49.67,49.67,49.67,92,49.67
0053,93000000000,32.28,32.28,32.28,1,32.28
0053,100000000000,32.07,32.07,32.06,2,32.06
0053,113000000000,32.2,32.2,32.07,2,32.07
0053,130000000000,32.25,32.25,32.25,1,32.25
0053,133000000000,32.25,32.25,32.25,1,32.25
0054,93000000000,20.6,20.6,20.6,2,20.6
0054,100000000000,20.6,20.6,20.6,3,20.6
0054,123000000000,20.6,20.6,20.6,2,20.6
0054,130000000000,20.5,20.5,20.5,1,20.5
0055,93000000000,17.75,17.75,17.75,6,17.75
0055,100000000000,17.72,17.72,17.72,3,17.72
0055,103000000000,17.7,17.7,17.7,2,17.7
0055,110000000000,17.7,17.7,17.7,2,17.7
0055,113000000000,17.75,17.75,17.75,1,17.75
0055,120000000000,17.75,17.75,17.75,1,17.75
0055,130000000000,17.75,17.75,17.75,1,17.75
0056,93000000000,24.22,24.23,24.19,528,24.21
0056,100000000000,24.22,24.23,24.2,320,24.21
0056,103000000000,24.22,24.23,24.21,171,24.22
0056,110000000000,24.21,24.22,24.21,199,24.22
0056,113000000000,24.23,24.23,24.21,186,24.21
0056,120000000000,24.23,24.23,24.22,128,24.22
0056,123000000000,24.22,24.23,24.21,194,24.22
0056,130000000000,24.2,24.22,24.19,678,24.22
0056,133000000000,24.17,24.2,24.17,399,24.2
0056,133000000000,24.18,24.18,24.18,36,24.18
0057,93000000000,47.0,47.08,46.77,3,46.77
0057,100000000000,47.06,47.06,47.06,9,47.06
0057,113000000000,47.22,47.22,47.16,19,47.16
0058,113000000000,42.05,42.05,42.05,20,42.05
0059,93000000000,42.76,42.76,42.76,5,42.76
0059,100000000000,42.65,42.65,42.65,7,42.65
0061,93000000000,15.02,15.03,14.99,84,15.01
0061,100000000000,14.97,15.06,14.97,184,15.03
0061,103000000000,15.05,15.05,15.0,49,15.0
0061,110000000000,15.07,15.07,15.0,22,15.05
0061,113000000000,15.07,15.1,15.07,36,15.07
0061,123000000000,15.07,15.07,15.07,1,15.07
0061,130000000000,15.07,15.07,15.07,1,15.07
0061,133000000000,15.09,15.09,15.06,82,15.08
0061,133000000000,15.04,15.04,15.04,197,15.04
006204,93000000000,48.92,48.92,48.77,60,48.77
006204,100000000000,49.12,49.12,49.12,30,49.12
006204,110000000000,49.11,49.11,49.11,32,49.11
006205,93000000000,26.39,26.44,26.31,242,26.39
006205,100000000000,26.34,26.49,26.3,284,26.38
006205,103000000000,26.43,26.43,26.33,162,26.34
006205,110000000000,26.45,26.49,26.38,145,26.42
006205,113000000000,26.49,26.52,26.48,68,26.5
006205,120000000000,26.5,26.55,26.5,30,26.51
006205,123000000000,26.47,26.5,26.47,1034,26.5
006205,130000000000,26.48,26.49,26.48,7,26.48
006205,133000000000,26.46,26.5,26.45,40,26.49
006205,133000000000,26.48,26.48,26.48,10,26.48
006206,93000000000,27.42,27.52,27.36,97,27.47
006206,100000000000,27.38,27.57,27.35,103,27.42
006206,103000000000,27.42,27.44,27.38,43,27.44
006206,110000000000,27.37,27.42,27.37,70,27.42
006206,113000000000,27.47,27.57,27.46,46,27.49
006206,120000000000,27.49,27.5,27.49,10,27.5
006206,130000000000,27.5,27.5,27.49,15,27.49
006206,133000000000,27.45,27.5,27.45,53,27.5
006206,133000000000,27.48,27.48,27.48,30,27.48
006207,93000000000,19.22,19.22,19.17,16,19.17
006207,100000000000,19.12,19.26,19.12,44,19.18
006207,103000000000,19.11,19.11,19.11,8,19.11
006207,113000000000,19.28,19.28,19.25,13,19.25
006207,120000000000,19.28,19.28,19.28,8,19.28
006207,123000000000,19.3,19.3,19.3,10,19.3
006207,130000000000,19.29,19.29,19.29,5,19.29
006207,133000000000,19.29,19.29,19.27,45,19.29
006207,133000000000,19.3,19.3,19.3,5,19.3
006208,93000000000,45.03,45.03,45.03,1,45.03
006208,113000000000,45.32,45.32,45.32,38,45.32
006208,123000000000,45.32,45.32,45.32,1,45.32
006208,133000000000,45.25,45.25,45.25,1,45.25
00625K,120000000000,5.98,5.98,5.98,50,5.98
00631L,93000000000,32.55,32.6,31.95,1175,32.07
00631L,100000000000,32.46,32.67,32.36,774,32.53
00631L,103000000000,32.55,32.55,32.43,238,32.47
00631L,110000000000,32.54,32.54,32.45,261,32.52
00631L,113000000000,32.56,32.65,32.52,340,32.55
00631L,120000000000,32.55,32.65,32.55,220,32.57
00631L,123000000000,32.52,32.55,32.51,37,32.55
00631L,130000000000,32.46,32.52,32.45,184,32.52
00631L,133000000000,32.42,32.46,32.34,168,32.46
00631L,133000000000,32.44,32.44,32.44,103,32.44
00632R,93000000000,13.2,13.31,13.16,19488,13.27
00632R,100000000000,13.21,13.23,13.16,5465,13.2
00632R,103000000000,13.19,13.22,13.19,1967,13.21
00632R,110000000000,13.19,13.21,13.18,4288,13.19
00632R,113000000000,13.18,13.2,13.16,2612,13.18
00632R,120000000000,13.18,13.19,13.16,1336,13.18
00632R,123000000000,13.2,13.2,13.18,526,13.19
00632R,130000000000,13.21,13.22,13.19,2440,13.2
00632R,133000000000,13.21,13.24,13.2,4610,13.21
00632R,133000000000,13.2,13.2,13.2,3923,13.2
00633L,93000000000,32.47,32.57,32.23,5080,32.24
00633L,100000000000,32.23,32.8,32.12,11071,32.46
