,stockid,bought_date,bought_time,bought_price,sold_date,sold_time,sold_price,QTY,cash_account,LS_type,offset_date
4341,,,,,,,,,,,
4342,,,,,,,,,,,
4343,,,,,,,,,,,
4344,,,,,,,,,,,
4345,,,,,,,,,,,
4346,,,,,,,,,,,
4347,,,,,,,,,,,
4348,,,,,,,,,,,
4349,,,,,,,,,,,
4350,,,,,,,,,,,
4443,,,,,,,,,,,
4444,,,,,,,,,,,
4445,,,,,,,,,,,
4446,,,,,,,,,,,
4447,,,,,,,,,,,
4448,,,,,,,,,,,
4449,,,,,,,,,,,
4450,,,,,,,,,,,
4451,,,,,,,,,,,
4452,,,,,,,,,,,
3944,,,,,,,,,,,
3945,,,,,,,,,,,
3946,,,,,,,,,,,
3947,,,,,,,,,,,
3948,,,,,,,,,,,
3949,,,,,,,,,,,
3950,,,,,,,,,,,
3951,,,,,,,,,,,
3952,,,,,,,,,,,
4327,,,,,,,,,,,
4328,,,,,,,,,,,
4329,,,,,,,,,,,
4330,,,,,,,,,,,
4331,,,,,,,,,,,
4332,,,,,,,,,,,
4333,,,,,,,,,,,
4334,,,,,,,,,,,
4335,,,,,,,,,,,
4336,,,,,,,,,,,
4585,,,,,,,,,,,
4586,,,,,,,,,,,
4587,,,,,,,,,,,
4588,,,,,,,,,,,
4589,,,,,,,,,,,
4590,,,,,,,,,,,
4591,,,,,,,,,,,
4592,,,,,,,,,,,
4593,,,,,,,,,,,
4594,,,,,,,,,,,
4450,,,,,,,,,,,
4451,,,,,,,,,,,
4452,,,,,,,,,,,
4453,,,,,,,,,,,
4454,,,,,,,,,,,
4455,,,,,,,,,,,
4456,,,,,,,,,,,
4457,,,,,,,,,,,
4458,,,,,,,,,,,
4459,,,,,,,,,,,
4299,,,,,,,,,,,
4300,,,,,,,,,,,
4301,,,,,,,,,,,
4302,,,,,,,,,,,
4303,,,,,,,,,,,
4304,,,,,,,,,,,
4305,,,,,,,,,,,
4306,,,,,,,,,,,
4307,,,,,,,,,,,
4308,,,,,,,,,,,
4197,,,,,,,,,,,
4198,,,,,,,,,,,
4199,,,,,,,,,,,
4200,,,,,,,,,,,
4201,,,,,,,,,,,
4202,,,,,,,,,,,
4203,,,,,,,,,,,
4204,,,,,,,,,,,
4205,,,,,,,,,,,
4206,,,,,,,,,,,
4302,,,,,,,,,,,
4303,,,,,,,,,,,
4304,,,,,,,,,,,
4305,,,,,,,,,,,
4306,,,,,,,,,,,
4307,,,,,,,,,,,
4308,,,,,,,,,,,
4309,,,,,,,,,,,
4310,,,,,,,,,,,
4311,,,,,,,,,,,
4402,,,,,,,,,,,
4403,,,,,,,,,,,
4404,,,,,,,,,,,
4405,,,,,,,,,,,
4406,,,,,,,,,,,
4407,,,,,,,,,,,
4408,,,,,,,,,,,
4409,,,,,,,,,,,
4410,,,,,,,,,,,
4411,,,,,,,,,,,
4351,,,,,,,,,,,
4352,,,,,,,,,,,
4353,,,,,,,,,,,
4354,,,,,,,,,,,
4355,,,,,,,,,,,
4356,,,,,,,,,,,
4357,,,,,,,,,,,
